Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Single Arm Dumbbell Bicep Curl,https://youtu.be/DE6BcaMCwJA?si=Q1Lbpg92nykSCfEE,https://youtu.be/74qC_TVP8yo?si=WNrv0C4iHCPcez8-,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Dumbbell Hammer Curl,https://youtu.be/yCDJmfP1Tr8?si=UDCf5aMfQvMiW-69,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Ring Dips,https://youtu.be/EznLCDBAPIU,https://youtu.be/Kr5Uuuy5DAI,Advanced,Triceps,Triceps Brachii ,Pectoralis Major,Anterior Deltoids,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Single Arm Push Up,https://youtu.be/CQ6VEzQAI7w?si=_nTW1Yq_iP18uBgt,https://youtu.be/azjQG10quYw,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,1,None,0,Prone,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Anti-Rotational ,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Bodyweight Aztec Push Up,https://youtu.be/MeunnPVySSI?si=wuDGH7XuHo-e8M5X,https://youtu.be/4z5kffSzjWI,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Plyometric
Slider Barbell Front Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Suspension Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Suspension Trainer,1,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Landmine Goblet Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Landmine,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Barbell Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Barbell Back Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Barbell Zercher Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Bulgarian Bag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Bulgarian Bag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Suitcase Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Bottoms Up Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,https://youtu.be/Bu50PXycHv8?si=SlReQTpVRUbKnVsC,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Double Dumbbell Front Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Suitcase Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Dumbbell Goblet Curtsy Lunge,https://youtu.be/lyYXfpCV5ys?si=iACRC6Vlz_wbm5zc,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Kettlebell Horn Grip Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Kettlebell Goblet Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Clubbell,1,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Double Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Clubbell,2,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Clubbell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Macebell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Macebell,1,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Macebell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Slider Curtsy Lunge,https://youtu.be/3psxN3YA0wg?si=BW-ePbc5Pg6OJ8z6,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Slider Plate Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Weight Plate,1,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Sandbag Front Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Sandbag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Clubbell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Macebell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Kettlebell Goblet Cyclist Squat,https://youtu.be/JMGY7iOxEd8?si=VQLmn1jf71I47o_a,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,1,Slant Board,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Goblet Knee Over Toe Split Squat,https://youtu.be/9b4Aatm0Wvo?si=35ADJVaHZbeshP13,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Foot Elevated Knee Over Toe Split Squat,https://youtu.be/JGpJCYbDefo?si=NOFTsBroAKhZtrMl,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,1,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Walking Lunge,https://youtu.be/gA6gJS2ePGU?si=Ug9x4DfIITtyX9FE,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Ring Maltese,https://youtu.be/CvVSQjBGdxY?si=NNbbzDLa-chZFz3I,,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Barbell Front Rack Curtsy Lunge,https://youtu.be/oZCa8oh_YVI?si=rPzLwq3xpBKREAf7,https://youtu.be/Kt3knQShh-A?si=sWwsEazcmrI0by7m,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Curtsy Lunge,https://youtu.be/b10GH56Feuc?si=DTF4gfUaKajgDIEP,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Curtsy Lunge,https://youtu.be/tiuw2sbuhl0?si=TK4HTHPYjPWelq8-,https://youtu.be/yjwURBqqCYg?si=NUF6xvgot5JoPLus,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Curtsy Lunge,,https://youtu.be/msvF1e9w2aQ?si=ZGUO8zKtN0DMjqex,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Curtsy Lunge,,https://youtu.be/DEE806Xr4V4?si=Bi_n7QfcYh1KpvBP,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Curtsy Lunge,https://youtu.be/u_cHR3_1IZw?si=oVJaTI9hNpMcfVFW,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,https://youtu.be/XVsdDBiLk2I?si=yYz392PvLdjJCOy5,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,https://youtu.be/IlABYRygo3w?si=LYId2yiYvpqxybEC,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Double Dumbbell Front Rack Curtsy Lunge,https://youtu.be/ORgVFXTysI8?si=F2L2x6t0lsu7RXmy,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Curtsy Lunge,https://youtu.be/tKQAKx25kyk?si=CVIu5jUCBGlS-CU4,https://youtu.be/LYtjfGYxPGc?si=6u5LXuWotilcKGX6,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
